Time,F-5 
8887.8706,-15.4799064
8890.71288,-15.5781996
8893.5584,-15.7504491
8896.38423,-15.4048158
8899.23632,-15.3369875
8902.07016,-15.4663467
8904.93363,-15.5259197
8907.76766,-15.4558277
8910.60524,-15.7662118
8913.47465,-15.4030321
8916.31261,-15.6066274
8919.14951,-15.7391856
8922.00622,-15.7544416
8924.83688,-15.7167567
8927.66628,-15.6276513
8930.5118,-15.859517
8933.35352,-15.6399377
8936.16929,-15.88363
8939.00138,-15.7159076
8941.82397,-15.4419498
8944.66574,-15.3788604
8947.51747,-15.6733876
8950.34543,-15.7812304
8953.18726,-15.5216065
8956.0376,-15.5725187
8958.88263,-15.8090934
8961.75028,-15.6437062
8964.59582,-15.6663468
8967.45858,-15.4697343
8970.28879,-15.5753424
8973.11526,-15.6333736
8975.95072,-15.896053
8978.77944,-15.7467528
8981.68539,-15.9015634
8984.56111,-15.7187471
8987.39976,-15.6574942
8990.23872,-15.7198277
8993.06331,-15.676823
8995.9214,-15.6903008
8998.79055,-15.738512
9001.66314,-15.4868966
9004.50004,-15.4709392
9007.37138,-15.3067238
9010.20034,-15.668028
9013.04274,-15.5493289
9015.90652,-15.5933365
9018.73486,-15.5826439
9021.56157,-15.7459793
9024.40703,-15.7314215
9027.24099,-15.3350151
9030.10821,-15.7392877
9032.94474,-15.5992691
9035.77164,-15.6285159
9038.60711,-15.8031252
9041.44337,-15.6319774
9044.29472,-15.6372229
9047.16356,-15.5595479
9050.00239,-15.9123739
9052.85511,-15.7008402
9055.6982,-15.4716911
9058.52479,-15.7104767
9061.37738,-15.5748091
9064.21296,-15.579956
9067.03824,-15.4659145
9069.86851,-15.5426982
9072.69229,-15.5015239
9075.49982,-15.5962919
9078.34772,-15.7504023
9081.19687,-15.7103301
9084.03658,-15.5099684
9086.85861,-15.4863415
9089.69657,-15.6191896
9092.52379,-15.8589855
9095.35956,-15.8657236
9098.21039,-15.4908535
9101.04724,-15.4316216
9103.87495,-15.4701144
9106.71179,-15.9351104
9109.54857,-15.6621949
9112.37565,-15.6545854
9115.21474,-15.6770496
9118.04902,-15.6192789
9120.90393,-15.6004046
9123.73551,-15.6061434
9126.56653,-15.9405679
9129.39013,-15.6818457
9132.22272,-15.6841884
9135.06161,-15.5434282
9137.92708,-15.3771648
9140.7591,-15.5639285
9143.60725,-15.931216
9146.43728,-15.4784989
9149.29593,-15.4340798
9152.16827,-15.7442561
9155.0234,-15.7069079
9157.94082,-15.2607344
9160.75934,-15.5558928
9163.58331,-15.2714077
9166.42121,-14.7457529
9169.24467,-14.9715873
9172.08233,-14.7637852
9174.91604,-15.0199613
9177.75182,-14.9762862
9180.61966,-15.4292729
9183.44868,-15.6937252
9186.30521,-15.7149129
9189.13105,-16.0469852
9191.96695,-15.7901041
9194.80529,-15.7393766
9197.64225,-16.1747819
9200.51327,-15.9188704
9203.34587,-15.8513818
9206.19445,-16.0236091
9209.03886,-16.0567466
9211.88013,-15.5633229
9214.71859,-16.2629163
9217.52443,-15.9608104
9220.38583,-16.0220954
9223.2378,-15.6414946
9226.07063,-16.0603259
9228.90485,-15.8961029
9231.72794,-15.5054623
9234.57984,-15.7992462
9237.42999,-15.8236721
9240.27139,-15.8072027
9243.09948,-15.9313741
9245.93031,-15.7800747
9248.75478,-15.9348078
9251.59031,-15.6973724
9254.44352,-15.6519884
9257.28355,-15.6850937
9260.13182,-15.8648376
9262.96123,-16.0111856
9265.78732,-15.8146564
9268.64134,-15.8379961
9271.48105,-16.0754109
9274.32784,-15.7565138
9277.14685,-15.6032732
9279.99126,-16.0724058
9282.86791,-15.9552601
9285.70387,-15.7661034
9288.57834,-15.8326807
9291.40923,-16.2472517
9294.22782,-15.8462454
9297.06972,-15.7641433
9299.89369,-15.9915287
9302.7324,-15.915847
9305.56549,-15.7152719
9308.40939,-15.9284273
9311.25391,-15.7514069
9314.12351,-15.778121
9316.95515,-15.8445769
9319.78193,-15.9049984
9322.62558,-15.6134292
9325.45517,-15.896244
9328.28582,-16.1128638
9331.12522,-15.8086638
9333.97938,-15.5610477
9336.8209,-16.0939816
9339.64192,-16.0682862
9342.47789,-15.624812
9345.31236,-15.9079796
9348.14919,-15.9220904
9351.02522,-15.4231273
9353.857,-15.5362934
9356.71815,-15.5857188
9359.56161,-15.5935666
9362.40482,-15.6613791
9365.24122,-15.6116193
9368.08325,-15.4505836
9370.90615,-15.516096
9373.74468,-15.8475479
9376.59489,-15.5587862
9379.43654,-15.4305847
9382.28013,-15.7848292
9385.10753,-15.6020487
9387.94268,-15.7389611
9390.79671,-15.5360285
9393.63398,-15.6486739
9396.47614,-15.5594783
9399.29773,-15.5299855
9402.14138,-15.5261833
9404.95965,-15.8292544
9407.79737,-15.2948644
9410.65327,-15.5127455
9413.48992,-15.4478629
9416.33464,-15.3712645
9419.20222,-15.4339708
9422.05412,-15.7252589
9424.89627,-15.6456311
9427.74149,-15.5384991
9430.57863,-15.6028981
9433.39873,-15.5992174
9436.22719,-15.5305261
9439.05234,-15.6237029
9441.8833,-15.937551
9444.7487,-15.6271572
9447.61668,-15.4178972
9450.45288,-15.5389901
9453.27016,-15.5024982
9456.10637,-15.5405567
9458.93409,-15.4164094
9461.76667,-15.591154
9464.60495,-15.4121869
9467.43697,-15.634258
9470.26613,-15.6137382
9473.1239,-15.4722803
9475.9768,-15.573463
9478.81414,-15.4454679
9481.68579,-15.2762899
9484.55659,-15.664325
9487.39203,-15.4046445
9490.23407,-14.9344106
9493.06627,-15.1571922
9495.89105,-15.0053432
9498.73358,-14.8778594
9501.58067,-14.6944143
9504.39182,-15.0528777
9507.21009,-15.1766906
9510.05782,-15.1167532
9512.88252,-15.3122371
9515.71011,-15.3804456
9518.55651,-15.0003545
9521.39935,-15.2857307
9524.21912,-15.0220367
9527.05965,-15.0539694
9529.8978,-15.1503183
9532.75158,-15.3017368
9535.58792,-15.2586708
9538.43325,-15.1799806
9541.25279,-15.2970683
9544.09362,-15.0403964
9546.95233,-14.9093002
9549.79423,-15.1263012
9552.62251,-15.1192391
9555.44766,-15.0311318
9558.29291,-15.2725328
9561.12303,-15.0765625
9563.9394,-15.0101724
9566.8037,-14.531241
9569.65054,-15.1794116
9572.48495,-15.3088006
9575.30799,-15.1677366
9578.15456,-15.0563742
9580.99328,-15.1859679
9583.84555,-15.0458057
9586.67326,-15.1822912
9589.50498,-15.0843593
9592.33982,-15.0370029
9595.16559,-14.9455735
9597.99668,-15.0367446
9600.84046,-15.1409725
9603.67123,-15.139213
9606.49794,-14.7798511
9609.33266,-15.0046076
9612.19087,-15.0395803
9615.03121,-14.9535929
9617.85692,-15.0662147
9620.69314,-15.3233846
9623.51272,-15.0031675
9626.35133,-15.0947449
9629.17903,-15.2568815
9632.01437,-14.9346226
9634.8744,-15.1790922
9637.70779,-15.2904094
9640.54632,-14.8461321
9643.38628,-14.9714217
9646.22981,-15.179346
9649.07246,-15.0382904
9651.89773,-15.0445182
9654.72864,-15.0985517
9657.57504,-15.0709623
9660.43999,-15.0988677
9663.31084,-15.1489821
9666.15406,-15.1893852
9668.99977,-14.9287612
9671.81611,-15.0588429
9674.65513,-15.122248
9677.51059,-14.875547
9680.33606,-14.9247304
9683.16684,-15.0353409
9685.9908,-14.9797156
9688.8444,-14.8749818
9691.70472,-15.2183833
9694.53376,-14.990977
9697.36116,-15.0389088
9700.20225,-14.8636047
9703.04239,-15.0032082
9705.90142,-14.991171
9708.72963,-14.9225594
9711.56552,-14.9427075
9714.40132,-15.0003254
9717.27065,-14.9811533
9720.11419,-14.9736264
9722.95551,-14.7957156
9725.80711,-14.7667537
9728.63438,-14.9970268
9731.46303,-14.9783364
9734.30755,-15.0440599
9737.15133,-15.3664626
9740.00079,-14.7334996
9742.83207,-15.0111945
9745.66941,-15.0130912
9748.50156,-15.1879105
9751.37152,-14.9638885
9754.20974,-15.0978855
9757.03545,-15.0185059
9759.87086,-15.0448371
9762.70288,-15.2865918
9765.5414,-14.9625619
9768.36687,-15.0187434
9771.20108,-14.9338355
9774.02124,-15.1830126
9776.85645,-14.898943
9779.68273,-14.8681676
9782.52119,-15.0315808
9785.35778,-14.8481619
9788.19006,-14.761928
9791.03533,-14.7820764
9793.86841,-14.9886839
9796.71077,-14.9646855
9799.54734,-14.8211992
9802.38043,-14.8343895
9805.23584,-14.9319947
9808.06486,-14.9045946
9810.9022,-14.9287134
9813.72823,-14.845769
9816.56007,-14.8877027
9819.38352,-14.8391649
9822.21705,-14.8832
